timestamp,kind,tx,ok,rssi,phase,payload
141781,Query,false,false,-78.5,,
142122,QueryAdjust,true,,,,
142645,QueryAdjust,false,false,-78.5,,
143710,Query,true,,,,
145174,Query,false,false,-95,,
145515,QueryAdjust,true,,,,
146972,QueryAdjust,false,false,-95.5,,
147487,Query,true,,,,
147553,Query,false,true,-42,4011,0000B30C
147726,Ack,true,,,,
147915,Ack,false,true,-42,4000,0000000000000000
148016,QueryAdjust,true,,,,
148068,QueryAdjust,false,false,-66.5,,
148174,QueryAdjust,true,,,,
148226,QueryAdjust,false,false,-84,,
148757,Query,true,,,,
148952,Query,false,false,-66.5,,
149070,QueryAdjust,true,,,,
149263,QueryAdjust,false,false,-66.5,,
150264,Query,true,,,,
150811,Query,false,false,-79,,
151152,QueryAdjust,true,,,,
151700,QueryAdjust,false,false,-78.5,,
152821,Query,true,,,,
154286,Query,false,false,-95,,
154627,QueryAdjust,true,,,,
156093,QueryAdjust,false,false,-94.5,,
156567,Query,true,,,,
156633,Query,false,true,-41.5,4003,000099B4
156810,Ack,true,,,,
156999,Ack,false,true,-42,3998,0000000000000000
157100,QueryAdjust,true,,,,
157152,QueryAdjust,false,false,-84,,
157258,QueryAdjust,true,,,,
157310,QueryAdjust,false,false,-84,,
157773,Query,true,,,,
157967,Query,false,false,-66.5,,
158085,QueryAdjust,true,,,,
158281,QueryAdjust,false,false,-66.5,,
159217,Query,true,,,,
159767,Query,false,false,-78.5,,
160108,QueryAdjust,true,,,,
160625,QueryAdjust,false,false,-78.5,,
161745,Query,true,,,,
163193,Query,false,false,-96,,
163534,QueryAdjust,true,,,,
164998,QueryAdjust,false,false,-94,,
165451,Query,true,,,,
165516,Query,false,true,-42,3973,0000C533
165693,Ack,true,,,,
165882,Ack,false,true,-42,3998,0000000000000000
165983,QueryAdjust,true,,,,
166035,QueryAdjust,false,false,-66,,
166141,QueryAdjust,true,,,,
166193,QueryAdjust,false,false,-66,,
166676,Query,true,,,,
166872,Query,false,false,-66.5,,
166990,QueryAdjust,true,,,,
167185,QueryAdjust,false,false,-66.5,,
168194,Query,true,,,,
168744,Query,false,false,-78,,
169085,QueryAdjust,true,,,,
169632,QueryAdjust,false,false,-78.5,,
170763,Query,true,,,,
172227,Query,false,false,-95.5,,
172568,QueryAdjust,true,,,,
174001,QueryAdjust,false,false,-96,,
174483,Query,true,,,,
174549,Query,false,true,-42,3969,0000BD4D
174731,Ack,true,,,,
174920,Ack,false,true,-42,4000,0000000000000000
175021,QueryAdjust,true,,,,
175073,QueryAdjust,false,false,-65.5,,
175179,QueryAdjust,true,,,,
175231,QueryAdjust,false,false,-66.5,,
175751,Query,true,,,,
175945,Query,false,false,-66.5,,
176064,QueryAdjust,true,,,,
176258,QueryAdjust,false,false,-66.5,,
177192,Query,true,,,,
177701,Query,false,false,-79,,
178041,QueryAdjust,true,,,,
178570,QueryAdjust,false,false,-78.5,,
