reader_timestamp,reader_command,tag_timestamp,tag_command,round_trip_us
13179759,Query,13180179,Select,420
13180607,QueryAdjust,13181088,Query,481
13184109,Query,13184405,Select,296
13190145,QueryAdjust,13190445,Select,300
13193252,Query,13193261,Select,9
13194149,QueryAdjust,13194230,Query,81
13203545,QueryAdjust,13203922,Select,377
13206632,Query,13206696,Select,64
13207514,QueryAdjust,13207604,Query,90
13215613,Query,13216082,Select,469
13215771,QueryAdjust,13216082,Select,311
13216835,Query,13217249,Select,414
13217170,QueryAdjust,13217249,Select,79
13229153,QueryAdjust,13229562,Select,409
13230537,QueryAdjust,13230729,Select,192
13242385,QueryAdjust,13242884,Select,499
13243773,QueryAdjust,13244082,Select,309
13246880,Query,13246894,Select,14
13247766,QueryAdjust,13247863,Query,97
13255741,QueryAdjust,13256225,Select,484
13257166,QueryAdjust,13257411,Select,245
13269105,Query,13269371,Select,266
13269263,QueryAdjust,13269371,Select,108
13270320,Query,13270542,Select,222
13270673,QueryAdjust,13270850,Query,177
13278153,Query,13278648,Query,495
13282316,Query,13282816,Select,500
13282474,QueryAdjust,13282816,Select,342
13283525,Query,13283981,Select,456
13283867,QueryAdjust,13283981,Select,114
13295818,Query,13296200,Select,382
13295977,QueryAdjust,13296200,Select,223
13297035,Query,13297373,Select,338
13297385,QueryAdjust,13297682,Query,297
13304976,Query,13305458,Query,482
13307009,QueryAdjust,13307436,QueryAdjust,427
13309596,Query,13309730,Query,134
13309754,QueryAdjust,13309887,QueryAdjust,133
13310807,Query,13310932,Query,125
13314199,Query,13314327,Query,128
13318585,Query,13318665,Query,80
13322858,Query,13323067,Query,209
13323017,QueryAdjust,13323067,Query,50
13324078,Query,13324277,Query,199
13324421,QueryAdjust,13324626,QueryAdjust,205
13327548,Query,13327736,Query,188
13328436,QueryAdjust,13328585,QueryAdjust,149
13331951,Query,13332072,Query,121
13340819,Query,13340893,Query,74
13345159,Query,13345311,Query,152
13352966,Query,13353197,Select,231
13358948,QueryAdjust,13359211,Select,263
13371017,Query,13371316,Select,299
13371175,QueryAdjust,13371316,Select,141
13372224,Query,13372536,Select,312
13372571,QueryAdjust,13372833,Query,262
13384202,Query,13384399,Select,197
13384361,QueryAdjust,13384399,Select,38
13385422,Query,13385571,Select,149
13385743,QueryAdjust,13385879,Query,136
13388868,Query,13389314,Query,446
13389750,QueryAdjust,13390194,QueryAdjust,444
13393274,Query,13393667,Query,393
13395269,QueryAdjust,13395451,QueryAdjust,182
13397800,Query,13397863,QueryAdjust,63
13411180,Query,13411592,Select,412
13411339,QueryAdjust,13411592,Select,253
13415839,Query,13416245,QueryAdjust,406
13424532,Query,13424727,Select,195
13424690,QueryAdjust,13424727,Select,37
13438051,Query,13438272,Query,221
13438209,QueryAdjust,13438272,Query,63
13451499,Query,13451562,Query,63
13464786,Query,13464791,Select,5
13464945,QueryAdjust,13465100,Query,155
13478477,Query,13478535,Query,58
13491956,Query,13492085,QueryAdjust,129
13501112,Query,13501474,QueryAdjust,362
13518639,Query,13518645,Query,6
13518798,QueryAdjust,13518987,QueryAdjust,189
13550684,QueryAdjust,13551180,Select,496
13552106,QueryAdjust,13552345,Select,239
13556049,QueryAdjust,13556097,Query,48
13565043,Query,13565111,QueryAdjust,68
13565379,QueryAdjust,13565854,Select,475
13568407,Query,13568655,Select,248
13569298,QueryAdjust,13569564,Query,266
13572759,Query,13572870,Select,111
13578850,QueryAdjust,13579159,Select,309
13581957,Query,13581991,Select,34
13582839,QueryAdjust,13582959,Query,120
13590688,QueryAdjust,13591162,Select,474
13592080,QueryAdjust,13592330,Select,250
13596010,QueryAdjust,13596020,Query,10
13603852,QueryAdjust,13604283,Select,431
13605227,QueryAdjust,13605449,Select,222
13609200,QueryAdjust,13609208,Query,8
13617303,Query,13617539,Query,236
13617461,QueryAdjust,13617539,Query,78
13618520,Query,13618737,Query,217
13621923,Query,13622167,Query,244
13626319,Query,13626547,Query,228
13630831,Query,13630985,QueryAdjust,154
13632048,Query,13632091,Query,43
13632379,QueryAdjust,13632424,QueryAdjust,45
13635535,Query,13635568,Query,33
13636426,QueryAdjust,13636450,QueryAdjust,24
13644331,Query,13644417,Query,86
13644490,QueryAdjust,13644574,QueryAdjust,84
13645540,Query,13645620,Query,80
13648917,Query,13649011,Query,94
13653264,Query,13653318,Query,54
13657407,Query,13657575,Query,168
13657566,QueryAdjust,13657575,Query,9
13658625,Query,13658782,Query,157
13658943,QueryAdjust,13659126,QueryAdjust,183
13662056,Query,13662284,Query,228
13662944,QueryAdjust,13663171,QueryAdjust,227
13666456,Query,13666655,Query,199
13668438,QueryAdjust,13668617,QueryAdjust,179
13671035,Query,13671084,Query,49
13671193,QueryAdjust,13671240,QueryAdjust,47
13672253,Query,13672283,Query,30
13675620,Query,13675671,Query,51
13684420,Query,13684440,Query,20
13684579,QueryAdjust,13684597,QueryAdjust,18
13685646,Query,13685656,Query,10
13685976,QueryAdjust,13686003,QueryAdjust,27
13689085,Query,13689111,Query,26
13689981,QueryAdjust,13689994,QueryAdjust,13
13693504,Query,13693531,Query,27
13695453,QueryAdjust,13695456,QueryAdjust,3
13698153,QueryAdjust,13698651,Select,498
13711340,Query,13711831,Select,491
13711498,QueryAdjust,13711831,Select,333
13716011,Query,13716468,QueryAdjust,457
13724989,Query,13725093,Select,104
13725148,QueryAdjust,13725392,Query,244
13747469,Query,13747642,Query,173
13755210,Query,13755457,Query,247
13757218,QueryAdjust,13757311,QueryAdjust,93
13759586,Query,13759641,Query,55
13759745,QueryAdjust,13759798,QueryAdjust,53
13760796,Query,13760901,Query,105
13764197,Query,13764318,Query,121
13768580,Query,13768659,Query,79
13774314,Query,13774383,QueryAdjust,69
13786782,Query,13786909,Select,127
13786940,QueryAdjust,13787207,Query,267
13800141,Query,13800437,Query,296
13800299,QueryAdjust,13800437,Query,138
13804815,Query,13804843,QueryAdjust,28
13813584,Query,13813690,Select,106
13813743,QueryAdjust,13813988,Query,245
13826946,Query,13826983,Query,37
13827104,QueryAdjust,13827338,QueryAdjust,234
13840248,Query,13840374,Query,126
13862820,Query,13863204,QueryAdjust,384
13864810,QueryAdjust,13865209,Select,399
13868745,QueryAdjust,13869192,Select,447
13889599,Query,13889899,QueryAdjust,300
13891609,QueryAdjust,13891916,Select,307
13895594,QueryAdjust,13895858,Select,264
13904837,QueryAdjust,13904943,Select,106
13908419,Query,13908901,Select,482
13908753,QueryAdjust,13908901,Select,148
13912744,QueryAdjust,13913226,Select,482
13918218,QueryAdjust,13918448,Select,230
